,residue,split,target
0,2nok.C.48,train,True
1,2nok.C.47,train,True
2,2nok.C.49,train,True
3,2nok.C.50,train,True
4,2nok.C.51,train,True
5,2nok.C.52,train,True
6,2nok.C.53,train,True
7,2nok.C.54,train,True
8,2nok.C.55,train,True
9,2nok.C.56,train,True
10,2nok.C.57,train,True
11,2nok.C.58,train,True
12,2nok.C.59,train,False
13,2nok.C.60,train,True
14,2nok.C.61,train,False
15,2nok.C.62,train,True
16,2nok.C.63,train,False
17,2nok.C.64,train,False
18,2nok.C.65,train,False
19,2nok.C.66,train,False
20,2nok.C.67,train,False
21,2nok.C.68,train,False
22,2nok.C.69,train,False
23,2nok.C.70,train,False
24,4pqv.A.2,test,False
25,4pqv.A.1,test,False
26,4pqv.A.3,test,False
27,4pqv.A.4,test,True
28,4pqv.A.5,test,True
29,4pqv.A.6,test,True
30,4pqv.A.7,test,True
31,4pqv.A.8,test,True
32,4pqv.A.9,test,True
33,4pqv.A.10,test,True
34,4pqv.A.11,test,True
35,4pqv.A.12,test,True
36,4pqv.A.13,test,True
37,4pqv.A.14,test,True
38,4pqv.A.15,test,True
39,4pqv.A.16,test,True
40,4pqv.A.17,test,True
41,4pqv.A.18,test,False
42,4pqv.A.19,test,True
43,4pqv.A.20,test,True
44,4pqv.A.21,test,True
45,4pqv.A.22,test,True
46,4pqv.A.23,test,True
47,4pqv.A.24,test,False
48,4pqv.A.25,test,True
49,4pqv.A.26,test,True
50,4pqv.A.27,test,True
51,4pqv.A.28,test,False
52,4pqv.A.29,test,False
53,4pqv.A.30,test,False
54,4pqv.A.31,test,False
55,4pqv.A.32,test,False
56,4pqv.A.33,test,False
57,4pqv.A.34,test,True
58,4pqv.A.35,test,True
59,4pqv.A.36,test,True
60,4pqv.A.37,test,True
61,4pqv.A.38,test,False
62,4pqv.A.39,test,False
63,4pqv.A.40,test,False
64,4pqv.A.41,test,False
65,4pqv.A.42,test,True
66,4pqv.A.43,test,False
67,4pqv.A.44,test,False
68,4pqv.A.45,test,False
69,4pqv.A.46,test,False
70,4pqv.A.47,test,False
71,4pqv.A.48,test,True
72,4pqv.A.49,test,False
73,4pqv.A.50,test,True
74,4pqv.A.51,test,True
75,4pqv.A.52,test,True
76,4pqv.A.53,test,True
77,4pqv.A.54,test,True
78,4pqv.A.55,test,False
79,4pqv.A.56,test,True
80,4pqv.A.57,test,True
81,4pqv.A.58,test,True
82,4pqv.A.59,test,False
83,4pqv.A.60,test,True
84,4pqv.A.61,test,True
85,4pqv.A.62,test,False
86,4pqv.A.63,test,False
87,4pqv.A.64,test,False
88,4pqv.A.65,test,False
89,4pqv.A.66,test,True
90,4pqv.A.67,test,True
91,4pqv.A.68,test,False
92,4mgm.B.2,train,True
93,4mgm.B.1,train,True
94,4mgm.B.3,train,True
95,4mgm.B.4,train,True
96,4mgm.B.5,train,True
97,4mgm.B.6,train,False
98,4mgm.B.7,train,True
99,4mgm.B.8,train,True
100,4mgm.B.9,train,True
101,4mgm.B.10,train,True
102,4mgm.B.11,train,True
103,4mgm.B.12,train,True
104,4mgm.B.13,train,True
105,4mgm.B.14,train,False
106,4mgm.B.15,train,True
107,4mgm.B.16,train,True
108,4mgm.B.17,train,True
109,4mgm.B.18,train,True
110,4mgm.B.19,train,True
111,4mgm.B.20,train,True
112,4mgm.B.21,train,False
113,4mgm.B.22,train,False
114,4mgm.B.23,train,False
115,4mgm.B.24,train,False
116,4mgm.B.25,train,False
117,4mgm.B.26,train,False
118,4mgm.B.27,train,False
119,4mgm.B.28,train,False
120,4mgm.B.29,train,False
121,4mgm.B.30,train,False
122,4mgm.B.39,train,False
123,4mgm.B.38,train,False
124,4mgm.B.40,train,False
125,4mgm.B.41,train,False
126,4mgm.B.42,train,False
127,4mgm.B.46,train,True
128,4mgm.B.45,train,True
129,4mgm.B.47,train,True
130,4mgm.B.48,train,False
131,4mgm.B.49,train,False
132,4mgm.B.50,train,False
133,4mgm.B.51,train,True
134,4mgm.B.52,train,True
135,4mgm.B.53,train,True
136,4mgm.B.54,train,True
137,4mgm.B.55,train,True
138,4mgm.B.56,train,True
139,4mgm.B.57,train,True
140,4mgm.B.58,train,True
141,4mgm.B.59,train,True
142,4mgm.B.60,train,False
143,4mgm.B.61,train,True
144,4mgm.B.62,train,False
145,4mgm.B.63,train,False
146,4mgm.B.64,train,False
147,4mgm.B.65,train,False
148,4mgm.B.66,train,False
149,4mgm.B.67,train,True
150,4mgm.B.68,train,True
151,4mgm.B.69,train,True
152,4mgm.B.70,train,True
153,4mgm.B.71,train,True
154,4mgm.B.72,train,True
155,4qlm.A.4,train,False
156,4qlm.A.3,train,False
157,4qlm.A.5,train,False
158,4qlm.A.6,train,True
159,4qlm.A.7,train,True
160,4qlm.A.8,train,True
161,4qlm.A.9,train,True
162,4qlm.A.10,train,True
163,4qlm.A.11,train,False
164,4qlm.A.12,train,False
165,4qlm.A.23,train,False
166,4qlm.A.22,train,False
167,4qlm.A.24,train,True
168,4qlm.A.25,train,True
169,4qlm.A.26,train,True
170,4qlm.A.27,train,True
171,4qlm.A.28,train,True
172,4qlm.A.29,train,True
173,4qlm.A.30,train,False
174,4qlm.A.31,train,False
175,4qlm.A.32,train,False
176,4qlm.A.33,train,False
177,4qlm.A.34,train,False
178,4qlm.A.40,train,True
179,4qlm.A.39,train,False
180,4qlm.A.41,train,True
181,4qlm.A.42,train,True
182,4qlm.A.43,train,True
183,4qlm.A.44,train,True
184,4qlm.A.45,train,True
185,4qlm.A.46,train,False
186,4qlm.A.47,train,False
187,4qlm.A.48,train,False
188,4qlm.A.49,train,False
189,4qlm.A.50,train,False
190,4qlm.A.51,train,False
191,4qlm.A.52,train,False
192,4qlm.A.53,train,False
193,4qlm.A.54,train,False
194,4qlm.A.55,train,False
195,4qlm.A.56,train,False
196,4qlm.A.57,train,False
197,4qlm.A.58,train,False
198,4qlm.A.59,train,False
199,4qlm.A.60,train,False
200,4qlm.A.61,train,False
201,4qlm.A.62,train,False
202,4qlm.A.63,train,False
203,4qlm.A.64,train,False
204,4qlm.A.65,train,False
205,4qlm.A.66,train,False
206,4qlm.A.67,train,False
207,4qlm.A.68,train,True
208,4qlm.A.69,train,True
209,4qlm.A.70,train,True
210,4qlm.A.71,train,True
211,4qlm.A.72,train,True
212,4qlm.A.73,train,True
213,4qlm.A.74,train,True
214,4qlm.A.75,train,True
215,4qlm.A.76,train,False
216,4qlm.A.77,train,False
217,4qlm.A.78,train,False
218,4qlm.A.79,train,False
219,4qlm.A.80,train,False
220,4qlm.A.81,train,False
221,4qlm.A.82,train,False
222,4qlm.A.83,train,True
223,4qlm.A.84,train,True
224,4qlm.A.85,train,True
225,4qlm.A.86,train,False
226,4qlm.A.87,train,False
227,4qlm.A.88,train,False
228,4qlm.A.89,train,True
229,4qlm.A.90,train,True
230,4qlm.A.91,train,True
231,4qlm.A.92,train,False
232,4qlm.A.93,train,False
233,4qlm.A.94,train,False
234,4qlm.A.95,train,True
235,4qlm.A.96,train,True
236,4qlm.A.97,train,True
237,4qlm.A.98,train,True
238,4qlm.A.99,train,False
239,4qlm.A.100,train,False
240,4qlm.A.101,train,False
241,4qlm.A.102,train,False
242,4qlm.A.103,train,True
243,4qlm.A.104,train,True
244,4qlm.A.105,train,True
245,4qlm.A.106,train,False
246,4qlm.A.107,train,False
247,4qlm.A.108,train,False
248,4qlm.A.109,train,True
249,4qlm.A.110,train,True
250,4qlm.A.111,train,True
251,4qlm.A.112,train,True
252,4qlm.A.113,train,False
253,4qlm.A.114,train,False
254,4qlm.A.115,train,False
255,4qlm.A.116,train,False
256,4qlm.A.117,train,False
257,4qlm.A.118,train,False
258,4qlm.A.119,train,False
259,4qlm.A.120,train,False
260,4qlm.A.121,train,False
261,4qlm.A.122,train,False
262,4qlm.A.123,train,False
263,5o69.A.2,train,False
264,5o69.A.1,train,False
265,5o69.A.3,train,False
266,5o69.A.4,train,False
267,5o69.A.5,train,False
268,5o69.A.6,train,True
269,5o69.A.7,train,True
270,5o69.A.8,train,True
271,5o69.A.9,train,True
272,5o69.A.10,train,True
273,5o69.A.11,train,False
274,5o69.A.12,train,False
275,5o69.A.13,train,False
276,5o69.A.14,train,True
277,5o69.A.15,train,True
278,5o69.A.16,train,True
279,5o69.A.17,train,True
280,5o69.A.18,train,True
281,5o69.A.19,train,True
282,5o69.A.20,train,False
283,5o69.A.21,train,False
284,5o69.A.22,train,False
285,5o69.A.23,train,False
286,5o69.A.24,train,False
287,5o69.A.25,train,False
288,5o69.A.26,train,False
289,5o69.A.27,train,False
290,5o69.A.28,train,False
